Boundary number,Yr_pass,Day_orbit,Hour,Minute,Second,Orbit_number,X_MSO (km),Y_MSO (km),Z_MSO (km)
3,2011,88,2,0,3.2,22,2837.533,1880.12,2513.516
4,2011,88,2,1,1.8,22,2692.557,1809.377,2569.09
5,2011,88,3,5,45.3,22,-3411.113,-2410.782,-4240.589
6,2011,88,3,6,8.7,22,-3404.602,-2414.702,-4294.856
7,2011,88,3,52,41.7,22,-1893.353,-2280.495,-9223.924
8,2011,88,3,54,57,22,-1801.28,-2256.569,-9407.491
1,2011,88,13,48,38.9,23,4925.031,2585.252,1390.914
2,2011,88,13,48,41.8,23,4919.613,2583.136,1394.897
3,2011,88,14,6,27.5,23,2610.522,1622.89,2627.932
4,2011,88,14,9,34.9,23,2109.2,1398.805,2773.878
5,2011,88,15,6,16.2,23,-3566.831,-2214.731,-3691.733
6,2011,88,15,10,9.2,23,-3517.504,-2262.995,-4232.227
7,2011,88,15,58,38.8,23,-1935.067,-2184.555,-9345.128
8,2011,88,16,3,21.1,23,-1738.893,-2140.562,-9718.665
1,2011,89,1,55,34.2,24,4745.036,2276.969,1594.363
2,2011,89,1,55,40.8,24,4731.542,2272.261,1603.45
3,2011,89,2,11,10.4,24,2625.8,1491.163,2648.406
4,2011,89,2,13,11.9,24,2296.282,1360.502,2744.841
5,2011,89,3,14,57.5,24,-3609.915,-2117.624,-4277.764
6,2011,89,3,16,22.3,24,-3586.801,-2132.489,-4468.074
7,2011,89,3,57,30.4,24,-2263.605,-2139.046,-8875.219
8,2011,89,4,2,56.3,24,-2040.003,-2102.68,-9329.673
1,2011,89,13,56,11.5,25,5261.166,2205.489,1300.092
2,2011,89,13,56,19.9,25,5244.821,2200.676,1312.131
3,2011,89,14,14,25.9,25,2864.694,1442.495,2593.107
4,2011,89,14,17,50.7,25,2307.464,1248.598,2759.821
5,2011,89,15,24,4.3,25,-3616.941,-2014.002,-4891.223
6,2011,89,15,26,49.2,25,-3556.455,-2035.327,-5238.521
7,2011,89,16,9,38.6,25,-2037.51,-2003.855,-9510.55
8,2011,89,16,9,44.1,25,-2033.985,-2003.368,-9517.188
1,2011,90,2,3,14.6,26,5044.514,1912.606,1517.36
2,2011,90,2,3,40.6,26,4994.079,1899.639,1551.386
3,2011,90,2,11,43.3,26,3975.128,1627.113,2150.467
4,2011,90,2,13,38.9,26,3703.831,1551.21,2282.139
5,2011,90,3,41,50.5,26,-3352.202,-1947.798,-6475.432
6,2011,90,3,56,29.1,26,-2839.12,-1964.793,-7976.118
7,2011,90,4,47,0.9,26,-665.243,-1718.75,-11760.46
8,2011,90,5,40,43.3,26,1773.591,-1226.794,-14193.953
1,2011,90,13,53,37.2,27,6556.178,1996.629,376.61
2,2011,90,13,56,10.9,27,6319.972,1952.365,590.201
3,2011,90,14,18,25,27,3708.09,1388.205,2311.252
4,2011,90,14,20,7.7,27,3453.25,1326.292,2421.043
5,2011,90,15,33,46.9,27,-3762.848,-1724.362,-4991.944
6,2011,90,15,39,57.3,27,-3616.835,-1775.656,-5748.679
7,2011,90,16,39,54.5,27,-1267.165,-1752.763,-11046.487
8,2011,90,16,58,16.6,27,-428.871,-1648.884,-12144.087
1,2011,91,1,38,52.1,28,8102.887,1922.698,-1210.386
2,2011,91,1,43,24.4,28,7796.044,1888.763,-836.232
3,2011,91,2,19,48.8,28,4186,1324.173,2111.325
4,2011,91,2,20,51.2,28,4041.738,1296.336,2183.492
5,2011,91,3,50,33.3,28,-3514.535,-1674.735,-6451.638
6,2011,91,4,11,11.4,28,-2773.87,-1742.755,-8507.077
7,2011,91,6,10,33.2,28,2594.919,-1215.155,-14820.88
8,2011,91,6,47,26.9,28,4184.42,-934.067,-15571.749
1,2011,91,13,35,1,29,8674.81,1636.566,-1876.49
2,2011,91,13,51,52.6,29,7564.023,1561.148,-490.907
3,2011,91,14,21,22.7,29,4614.652,1217.314,1911.328
