Boundary number,Yr_pass,Day_orbit,Hour,Minute,Second,Orbit_number,X_MSO (km),Y_MSO (km),Z_MSO (km)
5,2012,220,7,45,12,1136,3414.836,724.587,961.269
6,2012,220,7,46,56,1136,3598.178,794.986,716.604
7,2012,220,7,57,0,1136,4373.383,1136.177,-732.77
8,2012,220,7,58,36,1136,4458.478,1180.849,-960.672
1,2012,220,12,42,25,1137,-5407.449,-107.439,-10442.982
2,2012,220,12,56,47,1137,-5852.677,-278.405,-9747.755
3,2012,220,13,56,56,1137,-6825.141,-919.907,-5603.806
4,2012,220,14,2,54,1137,-6805.193,-969.92,-5074.627
5,2012,220,15,43,32,1137,3229.819,572.15,1201.895
6,2012,220,15,44,6,1137,3297.877,595.112,1124.158
7,2012,220,15,50,7,1137,3909.483,817.644,270.459
8,2012,220,15,53,40,1137,4185.692,931.444,-242.657
1,2012,220,20,45,59,1138,-5521.223,-14.003,-10283.721
2,2012,220,20,57,10,1138,-5865.041,-138.407,-9731.525
3,2012,220,21,50,58,1138,-6835.389,-698.057,-6115.988
4,2012,220,22,2,17,1138,-6829.634,-797.034,-5136.357
5,2012,220,23,43,44,1138,3259.656,497.596,1184.66
6,2012,220,23,44,50,1138,3390.225,538.485,1032.922
7,2012,220,23,52,12,1138,4094.456,783.305,-19.693
8,2012,220,23,55,32,1138,4328.717,878.304,-500.663
1,2012,221,4,26,28,1139,-4830.152,324.324,-11097.232
2,2012,221,4,49,33,1139,-5630.235,86.42,-10118.256
3,2012,221,5,41,17,1139,-6779.584,-437.38,-6896.166
4,2012,221,5,56,54,1139,-6860.2,-580.831,-5618.436
5,2012,221,7,42,6,1139,3053.532,356.418,1414.889
6,2012,221,7,43,48,1139,3271.27,416.409,1185.866
7,2012,221,7,58,37,1139,4526.241,844.28,-930.085
8,2012,221,8,0,58,1139,4641.599,897.734,-1261.548
1,2012,221,11,9,30,1140,-1455.076,1090.901,-12472.996
2,2012,221,11,10,7,1140,-1484.465,1086.447,-12473.442
3,2012,221,13,49,31,1140,-6851.868,-342.472,-6247.174
4,2012,221,13,52,31,1140,-6864.608,-369.466,-5998.295
5,2012,221,15,43,16,1140,3205.428,315.032,1268.909
6,2012,221,15,44,30,1140,3357.942,353.905,1100.274
7,2012,221,15,56,59,1140,4450.359,691.722,-685.884
8,2012,221,15,58,8,1140,4516.665,717.939,-849.951
1,2012,221,20,24,29,1141,-4721.962,584.079,-11174.446
2,2012,221,20,24,37,1141,-4727.071,582.976,-11169.701
3,2012,221,21,47,1,1141,-6840.718,-146.084,-6456.154
4,2012,221,21,53,37,1141,-6873.756,-204.802,-5911.717
5,2012,221,23,48,5,1141,3754.793,364.056,607.098
6,2012,221,23,50,44,1141,4003.928,431.797,226.359
7,2012,222,0,13,56,1141,5057.078,880.76,-2972.681
8,2012,222,0,16,17,1141,5086.23,914.289,-3267.331
1,2012,222,4,10,32,1142,-4143.36,803.768,-11624.891
2,2012,222,4,20,7,1142,-4529.975,736.351,-11327.674
3,2012,222,5,41,5,1142,-6784.737,81.277,-6928.413
4,2012,222,5,49,3,1142,-6854.4,11.541,-6297.3
5,2012,222,7,47,48,1142,3726.985,259.219,659
6,2012,222,7,48,48,1142,3827.748,282.825,516.118
7,2012,222,8,2,34,1142,4761.324,567.021,-1450.104
8,2012,222,8,2,39,1142,4764.867,568.518,-1461.668
1,2012,222,12,37,31,1143,-5161.873,741.449,-10675.5
2,2012,222,13,4,57,1143,-6041.857,546.17,-9330.044
3,2012,222,13,55,20,1143,-6876.997,134.826,-5778.277
4,2012,222,14,2,13,1143,-6872.214,74.65,-5174.267
5,2012,222,15,41,0,1143,2880.548,12.784,1599.186
6,2012,222,15,42,25,1143,3079.741,44.215,1414.771
7,2012,222,15,51,38,1143,4087.455,240.017,120.262
8,2012,222,15,51,44,1143,4095.931,242.025,105.825
1,2012,222,20,59,2,1144,-5849.485,743.491,-9657.843
2,2012,222,21,9,7,1144,-6135.37,675.389,-9095.772
3,2012,222,21,54,48,1144,-6868.468,319.507,-5830.359
4,2012,222,21,58,19,1144,-6873.275,288.992,-5526.88
5,2012,222,23,41,19,1144,2915.252,-58.201,1569.198
6,2012,222,23,42,23,1144,3065.355,-38.47,1430.152
7,2012,222,23,50,25,1144,3978.428,109.636,307.971
8,2012,222,23,52,33,1144,4163.236,147.797,0.238
1,2012,223,4,29,11,1145,-4795.788,1049.858,-11014.382
2,2012,223,4,29,59,1145,-4826.207,1046.293,-10984.038
3,2012,223,5,47,25,1145,-6814.747,562.766,-6448.631
4,2012,223,5,56,44,1145,-6860.62,484.605,-5671.261
5,2012,223,7,44,46,1145,3365.071,-84.724,1119.887
6,2012,223,7,45,33,1145,3460.114,-72.69,1011.522
7,2012,223,7,57,20,1145,4505.136,109.861,-675.252
8,2012,223,7,58,3,1145,4548.974,120.712,-777.502
1,2012,223,12,21,52,1146,-4475.121,1201.009,-11280.148
2,2012,223,12,25,44,1146,-4627.315,1188.811,-11144.755
3,2012,223,13,49,23,1146,-6810.573,729.11,-6295.681
4,2012,223,13,55,1,1146,-6839.629,682.615,-5825.459
5,2012,223,15,45,18,1146,3417.843,-169.258,1058.251
6,2012,223,15,46,22,1146,3543.947,-156.173,909.638
7,2012,223,15,52,30,1146,4149.424,-76.789,32.804
8,2012,223,15,54,34,1146,4312.325,-49.129,-265.265
1,2012,223,20,31,4,1147,-4793.232,1300.472,-10949.3
2,2012,223,20,34,26,1147,-4919.732,1291.802,-10816.567
3,2012,223,21,47,59,1147,-6775.513,923.822,-6416.206
4,2012,223,21,54,4,1147,-6813.618,875.191,-5913.138
5,2012,223,23,48,20,1147,3746.74,-233.818,644.208
6,2012,223,23,49,20,1147,3849.07,-223.707,501.424
7,2012,223,23,59,47,1147,4641.587,-105.518,-997.605
8,2012,224,0,11,14,1147,5077.611,33.92,-2555.774
1,2012,224,4,22,25,1148,-4413.508,1440.555,-11267.583
2,2012,224,4,24,4,1148,-4478.919,1438.95,-11210.41
3,2012,224,5,54,4,1148,-6785.588,1061.045,-5920.283
4,2012,224,6,3,22,1148,-6793.806,980.291,-5106.411
5,2012,224,7,41,32,1148,2879.175,-371.386,1585.904
6,2012,224,7,43,0,1148,3086.406,-366.486,1394.572
7,2012,224,7,53,58,1148,4246.313,-290.668,-152.445
8,2012,224,7,54,48,1148,4310.049,-282.943,-272.494
1,2012,224,12,43,40,1149,-5165.191,1549.978,-10431.498
2,2012,224,12,59,58,1149,-5702.061,1519.574,-9631.65
3,2012,224,13,42,3,1149,-6646.926,1335.091,-6898.28
4,2012,224,13,52,25,1149,-6743.301,1261.062,-6066.192
5,2012,224,15,43,45,1149,3165.348,-451.391,1306.589
6,2012,224,15,45,42,1149,3412.682,-448.489,1040.245
7,2012,224,15,52,30,1149,4110.279,-418.255,72.537
8,2012,224,15,55,49,1149,4369.46,-394.997,-405.137
1,2012,224,20,6,46,1150,-3669.44,1653.108,-11748.394
2,2012,224,21,5,3,1150,-5804.403,1668.051,-9358.915
3,2012,224,21,54,55,1150,-6716.969,1429.278,-5863.066
4,2012,224,21,57,38,1150,-6726.28,1407.022,-5629.803
5,2012,224,23,43,54,1150,3160.562,-539.855,1298.894
6,2012,224,23,44,7,1150,3189.08,-540.47,1269.696
7,2012,224,23,50,2,1150,3863.575,-540.901,440.974
8,2012,224,23,51,30,1150,4001.946,-536.833,230.274
1,2012,225,4,35,11,1151,-4751.707,1826.385,-10801.614
2,2012,225,4,36,34,1151,-4802.992,1828.292,-10745.158
3,2012,225,5,45,55,1151,-6602.241,1681.962,-6610.043
4,2012,225,5,49,55,1151,-6639.984,1655.259,-6287.694
5,2012,225,7,43,9,1151,3031.838,-622.906,1411.491
6,2012,225,7,44,36,1151,3224.453,-632.791,1217.002
7,2012,225,7,49,27,1151,3780.518,-649.285,538.137
8,2012,225,7,54,22,1151,4220.546,-644.931,-168.806
1,2012,225,12,35,9,1152,-4690.572,1960.057,-10807.021
2,2012,225,12,56,3,1152,-5415.831,1992.388,-9851.368
3,2012,225,13,48,21,1152,-6574.001,1854.146,-6422.69
4,2012,225,13,55,50,1152,-6626.07,1800.662,-5800.54
5,2012,225,15,46,10,1152,3388.803,-737.415,1014.969
6,2012,225,15,46,26,1152,3420.519,-739.435,977.906
7,2012,225,15,57,46,1152,4438.108,-759.839,-642.397
8,2012,225,15,58,2,1152,4455.329,-759.09,-680.441
1,2012,225,20,3,0,1153,-3334.603,1933.67,-11852.106
2,2012,225,20,8,58,1153,-3587.264,1969.611,-11697.262
3,2012,225,21,49,45,1153,-6528.504,2033.831,-6316.765
4,2012,225,21,55,25,1153,-6567.722,1994.046,-5844.191
5,2012,225,23,46,48,1153,3430.69,-840.779,940.457
6,2012,225,23,47,55,1153,3557.218,-851.612,783.704
7,2012,225,23,56,8,1153,4297.232,-887.91,-394.152
8,2012,225,23,59,23,1153,4510.429,-885.465,-858
1,2012,226,4,14,19,1154,-3742.686,2108.248,-11546.829
2,2012,226,4,36,32,1154,-4608.202,2232.302,-10759.177
3,2012,226,5,56,39,1154,-6511.042,2175.09,-5746.979
4,2012,226,6,1,57,1154,-6523.938,2130.63,-5282.689
5,2012,226,7,46,32,1154,3363.323,-935.445,991.439
6,2012,226,7,48,21,1154,3568.707,-959.088,736.579
7,2012,226,8,4,46,1154,4754.248,-1005.697,-1595.671
8,2012,226,8,5,47,1154,4796.669,-1001.547,-1734.872
1,2012,226,12,3,22,1155,-3217.09,2125.571,-11848.352
2,2012,226,12,3,26,1155,-3219.912,2126.153,-11846.712
3,2012,226,13,44,13,1155,-6332.887,2440.998,-6774.575
4,2012,226,14,7,22,1155,-6449.247,2268.752,-4798.542
5,2012,226,15,44,8,1155,3024.076,-984.239,1332.862
6,2012,226,15,46,25,1155,3310,-1030.415,1021.652
7,2012,226,15,55,24,1155,4171.88,-1133.525,-259.317
8,2012,226,15,58,21,1155,4377.247,-1145.775,-681.657
1,2012,226,20,15,26,1156,-3642.806,2332.564,-11519.746
2,2012,226,20,16,45,1156,-3695.797,2344.191,-11479.285
3,2012,226,22,1,24,1156,-6383.122,2517.882,-5349.462
4,2012,226,22,11,30,1156,-6356.747,2412.761,-4418.997
5,2012,226,23,47,22,1156,3377.426,-1146.483,903.649
6,2012,226,23,49,37,1156,3619.522,-1187.364,585.869
7,2012,226,23,59,24,1156,4401.566,-1279.588,-815.885
8,2012,227,0,4,22,1156,4662.631,-1286.238,-1511.213
1,2012,227,3,56,36,1157,-2784.2,2232.136,-12008.271
2,2012,227,4,20,47,1157,-3776.268,2491.826,-11353.782
3,2012,227,5,26,54,1157,-5869.046,2845.173,-8052.267
4,2012,227,5,57,45,1157,-6291.254,2738.319,-5678.443
5,2012,227,7,46,14,1157,3199.066,-1217.206,1075.446
6,2012,227,7,47,26,1157,3338.591,-1246.969,908.854
7,2012,227,8,0,53,1157,4442.703,-1418.039,-1010.397
8,2012,227,8,4,50,1157,4639.444,-1426.204,-1560.507
1,2012,227,11,41,45,1158,-2069.054,2109.304,-12271.023
2,2012,227,11,56,7,1158,-2687.08,2307.183,-12020.884
3,2012,227,13,51,54,1158,-6163.338,2965.734,-6182.208
4,2012,227,13,58,14,1158,-6205.609,2924.433,-5645.788
5,2012,227,15,49,19,1158,3491.921,-1392.901,658.406
6,2012,227,15,50,37,1158,3621.855,-1421.62,473.306
7,2012,227,16,3,53,1158,4547.404,-1564.472,-1414.196
8,2012,227,16,5,43,1158,4628.839,-1567.686,-1666.512
1,2012,227,19,51,55,1159,-2430.444,2324.669,-12106.578
2,2012,227,20,15,23,1159,-3392.257,2647.071,-11531.833
3,2012,227,21,54,59,1159,-6091.719,3135.427,-5933.436
4,2012,227,22,7,38,1159,-6124.37,3027.908,-4812.202
5,2012,227,23,51,52,1159,3684.641,-1558.377,309.808
6,2012,227,23,52,5,1159,3704.215,-1563.007,278.731
7,2012,228,0,3,35,1159,4479.347,-1701.803,-1357.17
8,2012,228,0,4,14,1159,4509.985,-1704.502,-1447.197
1,2012,228,4,0,20,1160,-2698.12,2528.961,-11934
2,2012,228,4,29,51,1160,-3850.731,2935.742,-11047.646
3,2012,228,5,49,5,1160,-5935.574,3351.789,-6430.604
4,2012,228,6,9,30,1160,-6021.716,3195.357,-4648.165
5,2012,228,7,48,19,1160,3275.055,-1568.696,829.945
6,2012,228,7,49,37,1160,3410.594,-1608.909,646.422
7,2012,228,7,58,57,1160,4164.638,-1797.504,-689.866
8,2012,228,7,59,59,1160,4227.647,-1809.365,-836.527
1,2012,228,12,30,0,1161,-3755.478,3054.398,-11046.645
2,2012,228,12,40,40,1161,-4133.549,3187.277,-10619.92
3,2012,228,14,3,18,1161,-5920.39,3447.091,-5227.825
4,2012,228,14,7,47,1161,-5921.568,3402.253,-4818.706
5,2012,228,15,47,9,1161,3085.74,-1623.164,1007.929
6,2012,228,15,47,53,1161,3167.118,-1651.142,905.925
7,2012,228,15,55,42,1161,3878.367,-1870.36,-209.158
8,2012,228,16,0,20,1161,4184.321,-1944.156,-870.111
1,2012,228,20,26,59,1162,-3540.704,3125.046,-11161.469
2,2012,228,20,33,21,1162,-3769.729,3216.259,-10923.665
3,2012,228,22,8,17,1162,-5809.278,3582.455,-4782.775
4,2012,228,22,23,5,1162,-5691.008,3356.856,-3334.467
5,2012,228,23,44,58,1162,2764.835,-1614.98,1320.372
6,2012,228,23,47,17,1162,3036.693,-1721.441,1004.675
7,2012,229,0,0,39,1162,4133.91,-2078.707,-898.806
8,2012,229,0,8,15,1162,4485.569,-2142.646,-1948.433
1,2012,229,4,24,36,1163,-3348.017,3194.694,-11249.195
2,2012,229,4,41,30,1163,-3939.842,3448.996,-10594.335
3,2012,229,6,8,29,1163,-5691.611,3763.742,-4773.887
4,2012,229,6,13,39,1163,-5674.941,3698.117,-4284.312
5,2012,229,7,46,0,1163,2823.496,-1750.751,1195.376
6,2012,229,7,46,28,1163,2877.524,-1773.915,1131.753
7,2012,229,8,0,29,1163,4050.776,-2205.549,-859.881
8,2012,229,8,1,53,1163,4128.232,-2226.349,-1057.153
1,2012,229,12,32,12,1164,-3504.519,3426.162,-10977.378
2,2012,229,12,53,14,1164,-4194.948,3733.554,-10060.597
3,2012,229,14,12,15,1164,-5558.119,3898.998,-4429.778
4,2012,229,14,21,44,1164,-5483.582,3744.072,-3494.658
5,2012,229,15,49,6,1164,3089.389,-1988.809,781.451
6,2012,229,15,51,39,1164,3331.93,-2093.521,419.587
7,2012,229,16,1,3,1164,4004.408,-2343.296,-923.59
8,2012,229,16,3,56,1164,4152.587,-2385.495,-1327.158
1,2012,229,20,34,35,1165,-3465.347,3576.273,-10889.933
2,2012,229,20,45,11,1165,-3814.23,3748.093,-10444
3,2012,229,22,6,30,1165,-5432.582,4145.821,-4978.736
4,2012,229,22,16,41,1165,-5405.565,4012.472,-4011.468
5,2012,229,23,44,32,1165,2507.663,-1828.427,1421.421
6,2012,229,23,48,1,1165,2902.082,-2029.235,948.752
7,2012,229,23,59,36,1165,3837.697,-2441,-701.973
8,2012,230,0,3,48,1165,4062.464,-2516.285,-1292.426
1,2012,230,4,39,54,1166,-3513.885,3779.115,-10678.914
2,2012,230,4,59,13,1166,-4105.121,4078.334,-9771.461
3,2012,230,6,16,55,1166,-5269.046,4184.692,-4000.054
4,2012,230,6,30,20,1166,-5095.879,3893.938,-2620.274
5,2012,230,7,42,50,1166,2222.503,-1781.49,1654.607
6,2012,230,7,45,5,1166,2499.257,-1939.751,1363.459
7,2012,230,7,56,42,1166,3564.487,-2484.638,-271.708
8,2012,230,7,58,45,1166,3698.449,-2542.27,-564.647
1,2012,230,12,52,59,1167,-3781.99,4114.312,-10091.843
2,2012,230,13,11,39,1167,-4294.864,4371.19,-9090.979
3,2012,230,14,24,26,1167,-5058.694,4210.978,-3253.563
4,2012,230,14,33,8,1167,-4907.176,3980.743,-2330.334
5,2012,230,15,44,36,1167,2365.159,-1979.862,1441.948
6,2012,230,15,49,3,1167,2844.454,-2263.542,835.915
7,2012,230,15,54,48,1167,3338.036,-2530.761,17.194
8,2012,230,16,0,40,1167,3718.722,-2710.501,-820.314
1,2012,230,20,47,5,1168,-3462.045,4131.807,-10376.066
2,2012,230,20,59,49,1168,-3829.833,4344.975,-9753.854
3,2012,230,22,23,5,1168,-4930.585,4409.145,-3404.57
4,2012,230,22,24,58,1168,-4909.134,4366.8,-3210.568
5,2012,230,23,40,9,1168,1723.016,-1667.415,2002.015
6,2012,230,23,47,45,1168,2628.695,-2271.134,1032.378
7,2012,230,23,52,25,1168,3058.07,-2531.319,374.912
8,2012,230,23,57,39,1168,3440.979,-2741.876,-374.737
1,2012,231,5,14,12,1169,-4043.31,4676.141,-8955.289
2,2012,231,5,18,36,1169,-4145.969,4728.491,-8686.315
3,2012,231,6,21,27,1169,-4793.862,4608.713,-3583.02
4,2012,231,6,25,55,1169,-4748.316,4508.408,-3124.169
5,2012,231,7,45,43,1169,2327.888,-2205.153,1323.772
6,2012,231,7,48,53,1169,2651.126,-2425.932,890.705
7,2012,231,7,56,17,1169,3250.829,-2801.703,-162.68
8,2012,231,8,0,11,1169,3491.842,-2934.717,-719.073
1,2012,231,13,3,32,1170,-3613.372,4649.012,-9570.509
2,2012,231,13,3,40,1170,-3616.819,4651.183,-9563.297
3,2012,231,14,18,18,1170,-4653.4,4830.849,-3910.683
4,2012,231,14,31,45,1170,-4509.658,4506.969,-2518.226
5,2012,231,15,46,18,1170,2302.138,-2320.807,1260.564
6,2012,231,15,49,19,1170,2597.785,-2536.47,845.861
7,2012,231,16,1,37,1170,3461.565,-3091.192,-905.331
8,2012,231,16,3,12,1170,3539.91,-3132.656,-1127.532
1,2012,231,20,43,54,1171,-2915.052,4381.488,-10536.31
2,2012,231,21,1,39,1171,-3398.509,4733.378,-9678.49
3,2012,231,22,27,17,1171,-4415.528,4789.718,-3006.208
4,2012,231,22,38,22,1171,-4222.35,4427.662,-1804.573
5,2012,231,23,45,16,1171,2103.109,-2303.055,1412.897
6,2012,231,23,46,14,1171,2203.949,-2384.425,1284.482
7,2012,231,23,57,35,1171,3122.47,-3063.325,-315.996
8,2012,232,0,3,33,1171,3442.743,-3258.713,-1160.19
1,2012,232,4,34,3,1172,-2474.821,4240.191,-10947.77
2,2012,232,4,40,25,1172,-2657.995,4394.118,-10691.335
3,2012,232,6,28,4,1172,-4239.443,4919.769,-2936.464
4,2012,232,6,41,33,1172,-3991.504,4438.957,-1459.545
5,2012,232,7,46,47,1172,2164.346,-2496.798,1225.467
6,2012,232,7,51,19,1172,2568.076,-2831.021,595.811
7,2012,232,8,5,18,1172,3400.459,-3417.513,-1387.007
8,2012,232,8,6,35,1172,3452.121,-3445.903,-1563.538
1,2012,232,12,48,51,1173,-2725.483,4678.191,-10326.286
2,2012,232,13,0,1,1173,-3011.759,4916.56,-9778.51
3,2012,232,14,36,22,1173,-3948.54,4794.819,-2053.119
4,2012,232,14,42,16,1173,-3819.067,4545.965,-1391.587
5,2012,232,15,46,57,1173,2082.184,-2575.975,1218.033
6,2012,232,15,49,27,1173,2306.947,-2778.214,874.279
7,2012,232,16,1,57,1173,3126.608,-3434.047,-903.415
8,2012,232,16,4,16,1173,3232.656,-3504.218,-1227.646
1,2012,232,21,9,42,1174,-3057.975,5203.076,-9257.808
2,2012,232,21,14,11,1174,-3156.733,5281.012,-8996.215
3,2012,232,22,33,12,1174,-3828.27,5048.012,-2413.126
4,2012,232,22,38,0,1174,-3750.481,4868.592,-1885.204
5,2012,232,23,48,21,1174,2106.31,-2759.733,1042.285
6,2012,232,23,49,14,1174,2181.687,-2831.947,920.082
7,2012,233,0,5,58,1174,3173.63,-3658.932,-1446.776
8,2012,233,0,6,56,1174,3210.482,-3682.385,-1579.439
1,2012,233,4,53,21,1175,-2489.924,4955.751,-10126.859
2,2012,233,5,17,52,1175,-3040.239,5446.929,-8781.391
3,2012,233,6,31,45,1175,-3665.914,5231.01,-2582.971
4,2012,233,6,36,21,1175,-3604.973,5067.125,-2081.53
5,2012,233,7,49,2,1175,2055.841,-2881.726,963.395
6,2012,233,7,52,17,1175,2305.227,-3131.5,506.704
7,2012,233,8,7,34,1175,3098.583,-3806.345,-1649.955
8,2012,233,8,7,46,1175,3105.638,-3810.976,-1677.192
1,2012,233,13,13,29,1176,-2752.324,5469.32,-9054.008
2,2012,233,13,20,58,1176,-2901.243,5598.157,-8596.525
3,2012,233,14,30,31,1176,-3490.174,5399.615,-2728.328
4,2012,233,14,34,16,1176,-3451.172,5273.375,-2323.548
5,2012,233,15,46,56,1176,1770.537,-2749.363,1265.376
6,2012,233,15,49,37,1176,1989.888,-2993.915,897.993
7,2012,233,16,0,46,1176,2679.282,-3685.503,-687.389
8,2012,233,16,3,39,1176,2808.782,-3796.127,-1093.138
1,2012,233,21,12,6,1177,-2523.342,5532.496,-9143.281
2,2012,233,21,36,5,1177,-2955.491,5899.932,-7585.145
3,2012,233,22,30,12,1177,-3298.022,5532.784,-2775.32
4,2012,233,22,33,28,1177,-3269.818,5424.667,-2424.018
5,2012,233,23,50,1,1177,1903.739,-3088.575,857.972
6,2012,233,23,51,41,1177,2022.379,-3225.55,623.806
7,2012,233,23,57,54,1177,2399.158,-3633.567,-263.038
8,2012,234,0,6,25,1177,2774.345,-3980.608,-1460.486
1,2012,234,5,39,30,1178,-2789.377,6033.618,-7346.053
2,2012,234,5,42,26,1178,-2830.872,6059.036,-7126.852
3,2012,234,6,45,30,1178,-2907.229,5001.181,-1090.26
4,2012,234,6,46,43,1178,-2882.308,4932.341,-950.022
5,2012,234,7,47,53,1178,1627.027,-2944.1,1167.383
6,2012,234,7,49,55,1178,1777.315,-3136.61,887.6
7,2012,234,8,0,43,1178,2398.234,-3856.185,-647.584
8,2012,234,8,4,28,1178,2555.091,-4010.166,-1174.585
1,2012,234,13,28,47,1179,-2403.563,5992.896,-8112.757
2,2012,234,13,34,57,1179,-2500.237,6076.485,-7685.607
3,2012,234,14,32,19,1179,-2880.034,5691.117,-2575.28
4,2012,234,14,39,57,1179,-2809.574,5388.838,-1735.193
5,2012,234,15,49,13,1179,1607.662,-3122.758,1000.299
6,2012,234,15,52,58,1179,1851.847,-3449.26,474.105
7,2012,234,16,5,45,1179,2452.108,-4141.909,-1336.359
8,2012,234,16,9,14,1179,2565.867,-4244.918,-1812.299
1,2012,234,21,29,43,1180,-2196.055,6086.161,-8058.913
2,2012,234,21,35,50,1180,-2288.169,6170.386,-7632.399
3,2012,234,22,26,18,1180,-2691.409,5974.373,-3225.129
4,2012,234,22,46,56,1180,-2518.384,5126.072,-953.068
5,2012,234,23,48,40,1180,1449.453,-3113.085,1091.332
6,2012,234,23,55,21,1180,1851.378,-3686.045,150.619
7,2012,235,0,9,40,1180,2420.668,-4344.225,-1854.868
8,2012,235,0,9,48,1180,2424.499,-4347.638,-1872.813
1,2012,235,5,9,29,1181,-1639.552,5756.835,-9325.751
2,2012,235,5,29,10,1181,-1961.63,6149.028,-8105.551
3,2012,235,6,42,29,1181,-2387.99,5464.345,-1476.999
4,2012,235,6,51,58,1181,-2245.503,4892.442,-381.353
5,2012,235,7,49,4,1181,1354.088,-3194.245,1051.946
6,2012,235,7,52,9,1181,1539.722,-3487.33,621.928
7,2012,235,8,6,30,1181,2163.781,-4329.142,-1407.601
8,2012,235,8,9,43,1181,2260.179,-4428.539,-1845.772
1,2012,235,13,20,4,1182,-1595.257,6043.514,-8705.435
2,2012,235,13,34,26,1182,-1807.46,6293.355,-7751.435
3,2012,235,14,39,56,1182,-2207.724,5675.828,-1778.742
4,2012,235,14,45,24,1182,-2158.761,5396.423,-1157.962
5,2012,235,15,47,17,1182,1119.701,-3032.839,1308.63
6,2012,235,15,50,46,1182,1329.357,-3402.547,832.177
7,2012,235,16,12,59,1182,2177.474,-4585.765,-2264.809
8,2012,235,16,13,7,1182,2180.615,-4588.531,-2282.327
1,2012,235,21,6,54,1183,-1166.406,5784.594,-9485.787
2,2012,235,21,26,18,1183,-1460.357,6215.79,-8315.311
3,2012,235,22,49,46,1183,-1914.302,5209.626,-666.829
4,2012,235,22,53,14,1183,-1866.112,4965.197,-261.419
5,2012,235,23,56,25,1183,1470.837,-3922.498,47.356
6,2012,235,23,58,43,1183,1566.776,-4079.172,-281.038
7,2012,236,0,12,44,1183,2000.429,-4655.346,-2216.245
8,2012,236,0,22,46,1183,2190.471,-4784.457,-3484.739
1,2012,236,5,9,58,1184,-995.67,5896.759,-9322.562
2,2012,236,5,21,38,1184,-1163.858,6167.143,-8624.829
3,2012,236,6,25,15,1184,-1786.017,6334.743,-3386.401
4,2012,236,6,45,14,1184,-1759.59,5560.469,-1205.354
5,2012,236,7,53,21,1184,1188.891,-3715.535,500.393
6,2012,236,7,56,4,1184,1307.113,-3939.708,113.574
7,2012,236,8,9,25,1184,1746.708,-4632.789,-1757.7
8,2012,236,8,11,23,1184,1795.025,-4690.007,-2021.773
1,2012,236,13,49,53,1185,-1274.744,6623.195,-6622.171
2,2012,236,13,58,37,1185,-1363.261,6662.788,-5902.135
3,2012,236,14,53,58,1185,-1490.745,5048.483,-203.766
4,2012,236,15,0,56,1185,-1397.372,4439.053,612.94
5,2012,236,15,50,53,1185,937.715,-3507.213,863.328
6,2012,236,15,52,42,1185,1018.846,-3686.953,608.513
7,2012,236,16,8,34,1185,1551.59,-4662.412,-1626.381
8,2012,236,16,13,51,1185,1672.81,-4812.487,-2331.898
1,2012,236,22,20,9,1186,-1284.784,6555.384,-3928.282
2,2012,236,22,21,48,1186,-1294.358,6525.145,-3763.441
3,2012,236,22,55,31,1186,-1291.833,4984.996,-35.924
4,2012,236,22,58,50,1186,-1259.357,4697.921,353.576
5,2012,236,23,52,41,1186,877.151,-3710.239,626.929
6,2012,236,23,57,25,1186,1053.346,-4112.974,-46.363
7,2012,237,0,9,6,1186,1388.881,-4732.255,-1682.907
8,2012,237,0,13,10,1186,1478.435,-4852.92,-2226.668
1,2012,237,6,5,15,1187,-924.405,6740.014,-5346.39
2,2012,237,6,7,36,1187,-944.654,6731.385,-5134.534
3,2012,237,6,53,26,1187,-1117.143,5201.351,-294.847
4,2012,237,6,56,14,1187,-1103.162,4978.593,34.179
5,2012,237,7,50,46,1187,663.534,-3531.377,910.946
6,2012,237,7,51,57,1187,708.429,-3656.181,745.915
7,2012,237,8,4,56,1187,1111.591,-4602.805,-1093.611
8,2012,237,8,5,9,1187,1117.072,-4613.16,-1123.786
1,2012,237,14,14,16,1188,-748.968,6712.018,-4526.184
2,2012,237,14,21,29,1188,-803.708,6609.863,-3821.134
3,2012,237,14,51,46,1188,-925.438,5368.832,-504.528
4,2012,237,14,54,47,1188,-921.742,5142.596,-150.57
5,2012,237,15,51,35,1188,556.62,-3630.224,813.132
6,2012,237,15,55,8,1188,671.746,-3974.461,311.892
7,2012,237,16,6,33,1188,975.495,-4711.854,-1301.704
8,2012,237,16,10,44,1188,1064.817,-4872.607,-1871.753
1,2012,237,22,28,1,1189,-605.898,6493.984,-3166.181
2,2012,237,22,29,53,1189,-618.946,6443.327,-2970.151
3,2012,237,22,59,35,1189,-730.552,4768.205,399.261
4,2012,237,23,2,12,1189,-725.95,4511.297,704.629
5,2012,237,23,52,47,1189,454.116,-3762.54,660.898
6,2012,237,23,55,43,1189,537.183,-4038.723,245.168
7,2012,238,0,17,32,1189,1000.382,-5081.022,-2746.084
8,2012,238,0,19,16,1189,1027.563,-5109.892,-2965.13
1,2012,238,6,16,53,1190,-270.097,6719.366,-4299.843
2,2012,238,6,17,53,1190,-278.76,6706.68,-4202.608
3,2012,238,6,59,33,1190,-553.001,4804.946,381.35
4,2012,238,7,4,5,1190,-559.976,4346.596,908.538
5,2012,238,7,49,55,1190,236.63,-3447.71,1074.858
6,2012,238,7,54,48,1190,362.233,-3963.496,391.764
7,2012,238,8,13,19,1190,742.181,-5013.815,-2184.214
